ticker,company_name,year,total_assets,total_liabilities,total_equity,issued_shares,sales_revenue,cost_of_sales,gross_profit,net_income,book_value_per_share,roa,roe,rota,eps,pe_ratio
AARD,Ard financial group,2009,113994700.0,29000.0,113965700.0,53223.0,0.0,0.0,0.0,0.0,2141.0,0.0,0.0,0.0,0.0,0.0
AARD,Ard financial group,2010,113994700.0,29000.0,113965700.0,53223.0,0.0,0.0,0.0,0.0,2141.0,0.0,0.0,0.0,0.0,0.0
AARD,Ard financial group,2013,3102370900.0,159590200.0,2942780700.0,1665938.0,0.0,0.0,173836400.0,0.0,1766.0,0.0,0.0,0.056,104.3475,18.9559
AARD,Ard financial group,2014,82779276900.0,20945455300.0,61833821600.0,28614263.0,4371094100.0,0.0,715920500.0,0.0,2161.0,0.0,0.0,0.0086,25.0197,140.1295
AARD,Ard financial group,2015,73307564300.0,22483235800.0,50824328500.0,28614263.0,368776400.0,0.0,777161200.0,0.0,1776.0,0.0,0.0,0.0106,27.1599,42.6363
AARD,Ard financial group,2016,80379860000.0,22721514200.0,57658345800.0,28614263.0,5252438800.0,0.0,1430339300.0,0.0,2015.0,0.0,0.0,0.0178,49.9869,70.1383
AARD,Ard financial group,2017,451858186000.0,69237478900.0,382620707100.0,28614263.0,9268499200.0,0.0,4630467000.0,0.0,13372.0,0.0,0.0,0.0102,161.8237,46.0068
AARD,Ard financial group,2018,332610635400.0,69314617700.0,263296017700.0,28614263.0,22212613200.0,0.0,1334788100.0,0.0,9202.0,0.0,0.0,0.004,46.6476,75.1592
AARD,Ard financial group,2025,113505098767.0,73486359464.0,40018739304.0,24445903.0,2677725951.0,0.0,2677725951.0,389176939.0,1637.0,0.0034,0.0097,0.0236,109.5368,27.525
APU,APU,2009,291069787300.0,147884315500.0,143185471800.0,742877000.0,208055307700.0,142012623000.0,2850993300.0,0.0,193.0,0.0,0.0,0.0098,3.8378,77.5215
APU,APU,2010,280058221200.0,121666012500.0,158392208700.0,742877000.0,108443059200.0,75565423600.0,15948413100.0,0.0,213.0,0.0,0.0,0.0569,21.4684,18.0707
APU,APU,2011,632914478600.0,125988816900.0,505442743300.0,1064181553.0,234606134200.0,164218127400.0,24871941700.0,0.0,475.0,0.0,0.0,0.0393,23.3719,25.8327
APU,APU,2012,609808704000.0,99516538400.0,510292165600.0,1064181553.0,99475772900.0,64508484100.0,13851969300.0,0.0,480.0,0.0,0.0,0.0227,13.0165,41.4857
APU,APU,2013,530446697700.0,86268630900.0,442824013300.0,1062974743.0,512928466000.0,287403788800.0,57851658700.0,0.0,417.0,0.0,0.0,0.1091,54.4243,23.4638
APU,APU,2014,512246001000.0,129149221900.0,383096779100.0,1064181553.0,102290956100.0,63656889000.0,9275729500.0,0.0,360.0,0.0,0.0,0.0181,8.7163,68.7023
APU,APU,2015,536709188100.0,55415610500.0,479421647700.0,1062974743.0,468645289700.0,256169256200.0,74411450100.0,0.0,451.0,0.0,0.0,0.1386,70.003,18.2421
APU,APU,2016,581216633400.0,109052178300.0,472164455100.0,1064181553.0,198298786400.0,139720193400.0,41168156400.0,0.0,444.0,0.0,0.0,0.0708,38.6853,15.2508
APU,APU,2017,556246098100.0,94294376300.0,455835096000.0,1062974743.0,491204352500.0,257126020900.0,89026939300.0,0.0,429.0,0.0,0.0,0.16,83.7526,15.2473
APU,APU,2019,617329136000.0,112536189000.0,504709145200.0,1062974743.0,669724030000.0,341762248800.0,153527647500.0,0.0,475.0,0.0,0.0,0.2487,144.4321,8.8415
APU,APU,2021,843607334000.0,210414439300.0,603029788100.0,1062974743.0,838822711700.0,483720356700.0,124839114800.0,0.0,567.0,0.0,0.0,0.148,117.4432,10.8733
APU,APU,2022,0.0,106418200300.0,0.0,1062974743.0,517884786826439.0,291330652236679.0,71672186840890.0,0.0,0.0,,,,67426.0487,0.0189
APU,APU,2023,782638887643.0,138056426530.0,644582461113.0,1064181553.0,759196509234.0,516285024147.0,242911485086.0,154545477651.0,606.0,0.1975,0.2398,0.3104,228.2613,5.3053
APU,APU,2024,830136302729.0,118158772412.0,711977530317.0,1064181553.0,412752615074.0,253669135564.0,159083479510.0,114219057536.0,669.0,0.1376,0.1604,0.1916,149.489,8.1009
APU,APU,2025,1078556029000.0,283556436000.0,775351480500.0,1064060872.0,1327522591000.0,680502489000.0,647020102000.0,192890852000.0,729.0,0.1788,0.2488,0.5999,608.0668,1.9916
